"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"250","Kenny Dorham","Doodlin’","tp","Hardbop","1954","121.1",230,"Score","JazzTube","tp"
"251","Kenny Dorham","In ‘n Out","tp","Postbop","1964","294.0",589,"Score","JazzTube","tp"
"252","Kenny Dorham","Lady Bird","tp","Hardbop","1955","211.6",483,"Score","JazzTube","tp"
"253","Kenny Dorham","Prince Albert","tp","Hardbop","1955","152.9",738,"Score","JazzTube","tp"
"254","Kenny Dorham","Punjab","tp","Postbop","1964","154.9",477,"Score","JazzTube","tp"
"255","Kenny Dorham","Serenity","tp","Postbop","1964","154.9",181,"Score","JazzTube","tp"
"256","Kenny Garrett","Brother Hubbard","as","Fusion","1997","148.0",312,"Score","JazzTube","as"
"257","Kenny Garrett","Brother Hubbard (2)","as","Fusion","1997","143.2",452,"Score","JazzTube","as"
"258","Kenny Wheeler","Double Vision","tp","Postbop","1985","155.1",323,"Score","JazzTube","tp"
"259","Kenny Wheeler","Pass It On","tp","Fusion","1991","105.7",264,"Score","JazzTube","tp"
"260","Kenny Wheeler","Slipped again","tp","Postbop","1991","130.1",256,"Score","JazzTube","tp"
"261","Kid Ory","Got No Blues","tb","Traditional","1927","144.7",80,"Score","JazzTube","tb"
"262","Kid Ory","Gut Bucket Blues","tb","Traditional","1925","149.8",43,"Score","JazzTube","tb"
"263","Kid Ory","Muskrat Ramble","tb","Traditional","1926","184.0",52,"Score","JazzTube","tb"
"264","Kid Ory","Savoy Blues","tb","Traditional","1927","129.6",59,"Score","JazzTube","tb"
"265","Kid Ory","Who’s it","tb","Traditional","1926","211.6",85,"Score","JazzTube","tb"
"266","Lee Konitz","All the Things You Are","as","Cool","1955","192.5",686,"Score","JazzTube","as"
"267","Lee Konitz","Bop Goes to Leesel","as","Cool","1954","229.2",420,"Score","JazzTube","as"
"268","Lee Konitz","Crosscurrent","as","Cool","1949","255.8",205,"Score","JazzTube","as"
"269","Lee Konitz","I’ll Remember April","as","Cool","1954","211.2",830,"Score","JazzTube","as"
"270","Lee Konitz","Marshmallow","as","Cool","1949","298.6",352,"Score","JazzTube","as"
"271","Lee Konitz","Mean to Me","as","Cool","1954","138.9",556,"Score","JazzTube","as"
"272","Lee Konitz","Tautology","as","Cool","1949","265.8",351,"Score","JazzTube","as"
"273","Lee Konitz","Wow","as","Cool","1949","173.7",119,"Score","JazzTube","as"
"274","Lee Morgan","Blue Train","tp","Hardbop","1957","133.6",616,"Score","JazzTube","tp"
"275","Lee Morgan","Just One of Those Things","tp","Hardbop","1957","318.7",821,"Score","JazzTube","tp"
"276","Lee Morgan","The Sidewinder","tp","Hardbop","1963","156.3",396,"Score","JazzTube","tp"
